Time[s], TX, RX, Dir, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
14.129770000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.129870000000000, 0, 1, 0, 1, 1, 1, 1, 1
14.129970000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.130290000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.130480000000000, 1, 1, 1, 1, 1, 1, 1, 1
14.130500000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.130550000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.130600000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.130700000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.130750000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.130800000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.130860000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.130960000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.131020000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.131490000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.131560000000000, 0, 1, 0, 1, 1, 1, 1, 1
14.131820000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.131870000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.132020000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.132090000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.132280000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.132320000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.132530000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.132580000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.132790000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.132880000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.150440000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.151370000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.152450000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.152610000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.152660000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.152710000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.152870000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.152920000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.152980000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.153090000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.153140000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.153240000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.154410000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.154460000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.154510000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.154880000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.154940000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.155360000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.156360000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.156410000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.156460000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.156510000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.156570000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.156620000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.156770000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.156830000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.198220000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.199150000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.200380000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.200850000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.200910000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.201010000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.201070000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.201380000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.202420000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.202470000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.202520000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.202890000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.202950000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.203050000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.203100000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.203420000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.204400000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.204550000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.204610000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.204660000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.218470000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.219400000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.220450000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.220660000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.220710000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.220770000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.220820000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.220920000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.220980000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.221040000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.221090000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.221240000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.221300000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.221450000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.222730000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.223040000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.223090000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.223200000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.224700000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.224750000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.224810000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.225010000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.225120000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.225170000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.229030000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.229060000000000, 0, 1, 0, 1, 1, 1, 1, 1
14.229990000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.230060000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.230470000000000, 1, 1, 1, 1, 1, 1, 1, 1
14.230630000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.230680000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.230780000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.230930000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.230990000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.231090000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.231210000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.231390000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.231410000000000, 0, 1, 0, 1, 1, 1, 1, 1
14.231460000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.231510000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.231610000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.231660000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.231720000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.231770000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.231870000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.231930000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.232400000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.232470000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.232730000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.232780000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.232940000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.233000000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.233190000000000, 1, 1, 1, 1, 1, 1, 1, 1
14.233210000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.233260000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.233310000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.233360000000001, 1, 1, 1, 1, 1, 1, 1, 1
